Jahr;BFS_Nummer;Gemeinde;Indikator;Wert
2020;2792;Wahlen;Steuerkraft_Total_CHF;2156561.62032681
2020;2792;Wahlen;Steuerkraft_pro_Einwohner_CHF;1476.08598242766
2020;2792;Wahlen;Ressourcenausgleich_Empfängergemeinden_vor_Kürzung_CHF;1715088.0
2020;2792;Wahlen;Kürzung_infolge_maximaler_Abschöpfungssatz_CHF;13476.0
2020;2793;Zwingen;Ressourcenausgleich_Gebergemeinden_CHF;0.0
2020;2793;Zwingen;Ressourcenausgleich_Empfängergemeinden_CHF;1491065.0
2020;2793;Zwingen;Lastenabgeltung_Bildung_Schülerzahl_CHF;247249.0
2020;2793;Zwingen;Lastenabgeltung_Bildung_Weite_CHF;0.0
2020;2793;Zwingen;Lastenabgeltung_Sozialhilfe_CHF;21794.0
2020;2793;Zwingen;Lastenabgeltung_Nicht-Siedlungsfläche_CHF;0.0
2020;2793;Zwingen;Lastenabgeltung_Total_CHF;269043.0
2020;2793;Zwingen;Finanzierung_Ausgleichsfonds_CHF;0.0
2020;2793;Zwingen;Solidaritätsbeitrag_Auszahlung_CHF;0.0
2020;2793;Zwingen;Solidaritätsbeitrag_Finanzierung_CHF;24440.0
2020;2793;Zwingen;Kompensation_vergangene_Aufgabenverschiebung_CHF;63638.0
2020;2793;Zwingen;Kompensationsleistung_Sechste_Primar_CHF;302582.0
2020;2793;Zwingen;Kompensationsleistung_Ergänzungsleistungen_CHF;101351.0
2020;2793;Zwingen;Gemeindeanteil_Ergänzungsleistungen_CHF;397590.0
2020;2793;Zwingen;Gemeindeanteil_Spitalbeschulung_CHF;1068.0
2020;2793;Zwingen;Gemeindeanteil_Schulleiterkonferenz_CHF;116.0
2020;2793;Zwingen;Nettobelastung_CHF;0.0
2020;2793;Zwingen;Nettogutschrift_CHF;1678156.0
2020;2793;Zwingen;Mittlere_Wohnbevölkerung_Vorjahr;2444.0
2020;2793;Zwingen;Steuerertrag_Natürliche_Personen_Vorjahr_CHF;4101042.5
2020;2793;Zwingen;Steuerertrag_Juristische_Personen_Ertrag_Vorjahr_CHF;799385.55
2020;2793;Zwingen;Steuerertrag_Juristische_Personen_Kapital_Vorjahr_CHF;284829.0
2020;2793;Zwingen;Steuerkraft_Total_CHF;4962993.40061936
